6,214%;KNIP11;KINEA ÍNDICE DE PREÇOS;;;;
0,538%;RBRL11;RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO;;;;
Seguir;;;;;;
"
";;;;;;
0,522%;MGFF11;MOGNO FUNDO DE FUNDOS;;;;
Seguir;;;;;;
"
";;;;;;
0,502%;XPIN11;XP INDUSTRIAL;;;;
Seguir;;;;;;
"
";;;;;;
0,476%;SARE11;SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,463%;RCRB11;FDO INV IMOB RIO BRAVO RENDA CORPORATIVA;;;;
Seguir;;;;;;
"
";;;;;;
0,463%;RBRY11;FDO INV IMOB RBR PRIVATE CRÉDITO IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,46%;BTAL11;BTG PACTUAL AGRO LOGÍSTICA;;;;
Seguir;;;;;;
"
";;;;;;
0,445%;GALG11;GUARDIAN LOGISTICA;;;;
Seguir;;;;;;
"
";;;;;;
0,404%;BCRI11;BANESTES RECEBÍVEIS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
0,374%;RECT11;FDO INV IMOB – FII UBS (BR) OFFICE;;;;
Seguir;;;;;;
"
";;;;;;
0,362%;KFOF11;FUNDO DE FDO INV IMOB KINEA FII;;;;
Seguir;;;;;;
"
";;;;;;
0,357%;SNCI11;SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,35%;BARI11;FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII;;;;
Seguir;;;;;;
"
";;;;;;
0,345%;CACR11;CARTESIA FII;;;;
Seguir;;;;;;
"
";;;;;;
0,338%;MFII11;MÉRITO DESENVOLVIMENTO IMOBILIÁRIO;;;;
Seguir;;;;;;
"
";;;;;;
0,332%;BCIA11;BRADESCO CARTEIRA IMOBILIÁRIA ATIVA;;;;
Seguir;;;;;;
"
";;;;;;
0,326%;KISU11;KILIMA FIC FDO. IMOB. SUNO 30;;;;
Seguir;;;;;;
"
";;;;;;
0,315%;TEPP11;TELLUS PROPERTIES – FDO INV. IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,306%;ARCT11;RIZA ARCTIUM REAL ESTATE FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,301%;AFHI11;AF INVEST CRI;;;;
Seguir;;;;;;
"
";;;;;;
0,3%;XPSF11;XP SELECTION FDO DE FUNDOS INV IMOB – FII;;;;
Seguir;;;;;;
"
";;;;;;
0,3%;PATL11;PÁTRIA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO;;;;
Seguir;;;;;;
"
";;;;;;
0,299%;KCRE11;FII KINEA CR;;;;
Seguir;;;;;;
"
";;;;;;
0,294%;FIIB11;INDUSTRIAL DO BRASIL;;;;
Seguir;;;;;;
"
";;;;;;
0,288%;AIEC11;AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,285%;PORD11;POLO RECEBÍVEIS IMOBILIÁRIOS II;;;;
Seguir;;;;;;
"
";;;;;;
0,285%;RZAT11;;;;;
Seguir;;;;;;
"
";;;;;;
0,277%;OUJP11;OURINVEST JPP;;;;
Seguir;;;;;;
"
";;;;;;
0,274%;BPFF11;BRASIL PLURAL ABSOLUTO FUNDO DE FUNDOS;;;;
Seguir;;;;;;
"
";;;;;;
0,251%;MCHF11;MAUÁ CAPITAL HEDGE FUND;;;;
