ticker,price,patrimonio_mi,div_yield_hist,div_yield,price_to_book,Mean_of_Future_Values_3_mo,Max_of_Future_Values_3_mo,rank_0,size
KNIP11,91.16999816894531,77000.0,0.8701692983071283,0.1066,0.95,90.66938032341346,91.25126312860095,1.0816474852935936,AAAAA
KNCR11,100.62999725341797,58000.0,1.1320348780273606,0.135,1.0,102.3451279859454,103.58861326237503,1.0641432165630214,AAAAA
HGLG11,160.0,52000.0,0.7605901041666666,0.0919,1.04,158.3250353199919,159.39077673533927,0.9798844941756831,AAAAA
KNRI11,158.0,38000.0,0.6344936708860758,0.0767,0.99,155.16921445070776,155.8183933756694,1.0152551532326288,AAAAA
IRDM11,73.69000244140625,32000.0,1.142302513382759,0.1371,0.85,71.77948480868257,73.61331590701143,1.2155278437854378,AAAAA
XPLG11,106.22000122070312,30000.0,0.7120727053957282,0.086,0.96,101.90731662948988,104.03471440722905,1.04217131450537,AAAAA
MXRF11,10.460000038146973,25000.0,1.0662858469717422,0.131,1.06,10.399394277550412,10.439958047344966,0.9724256497415775,AAAAA
XPML11,113.58000183105469,35000.0,0.7230368346194753,0.0868,1.01,109.3394264769391,112.32572690715251,1.00041313690798,AAAAA
CPTS11,7.889999866485596,28000.0,7.84899524417305,0.1082,0.89,7.839068724341616,7.854713691753694,1.1488278198300135,AAAAA
HGRU11,130.0,23000.0,0.758974358974359,0.0913,1.05,126.79785647799147,128.18059206009931,0.9604858173909969,AAAAA
RECR11,84.01000213623047,25000.0,1.0322147533783481,0.1285,0.89,84.26704886023627,85.75822152203375,1.183823784189548,AAAAA
VISC11,118.55000305175781,25000.0,0.7188956654528711,0.0883,1.03,113.69896656960792,118.1797625004974,0.9892067797235345,AAAAA
BTLG11,99.69999694824219,28000.0,0.7496828213425315,0.0901,1.01,97.9832420693382,98.16230953631252,0.9967865838206571,AAAAA
HGBS11,223.5,22000.0,0.7046634973900074,0.0872,1.0,219.2992160642742,221.1912215030001,1.011244698576132,AAAAA
KNHY11,101.08000183105469,19000.0,1.0470254394160319,0.12710000000000002,1.0,101.19753299821056,103.35292064812414,1.0549758386426575,AAAAA
HFOF11,73.27999877929688,19000.0,0.8574417901202949,0.10300000000000001,0.91,69.53859656673777,71.206962951211,1.095310227576883,AAAAA
BCFF11,8.970000267028809,20000.0,6.243032144139417,0.09359999999999999,0.11,8.826931309825742,8.917299341069805,9.24897524473409,AAAAA
BRCR11,59.290000915527344,27000.0,0.7575757458776414,0.0909,0.59,54.6784923240456,55.62178633875193,1.6261864422473098,AAAAA
BRCO11,121.30000305175781,18000.0,0.6581478262557755,0.08130000000000001,1.0,118.4077242498779,118.94403223386308,1.0005075567659487,AAAAA
TGAR11,118.11608123779297,16000.0,1.1840652127256106,0.1378,1.06,118.51265843651974,121.65969854672444,1.0051742275425053,AAAA
HGRE11,129.38999938964844,18000.0,0.6633691455152773,0.0796,0.84,119.18042221612876,121.37729375633012,1.138977238305284,AAAAA
JSRE11,71.63999938964844,23000.0,0.6525684031029613,0.0779,0.64,68.26964612069288,69.70810037897304,1.5499735273440105,AAAAA
HGCR11,101.8499984741211,16000.0,1.1372934223731503,0.13449999999999998,1.01,104.0486077655344,105.62085714222084,1.0612807623247915,AAAA
VILG11,95.80000305175781,17000.0,0.7063326149385241,0.084,0.86,90.60233440118616,91.74894056941352,1.1370061821780497,AAAAA
MCCI11,92.25,16000.0,1.043360433604336,0.1252,0.98,90.20710679417316,90.30333580820223,1.030140260151529,AAAA
BBPO11,96.75,16000.0,0.9339910735259573,0.1158,0.95,93.75115433311566,94.7483695742609,1.0606972378450785,AAAA
HSML11,91.83000183105469,15000.0,0.7931322212900453,0.0958,0.97,89.8034998849855,90.26834046767252,1.0376667034766116,AAAA
VRTA11,87.12000274658203,14000.0,0.9871441378412261,0.1162,0.94,86.03839014065424,86.32376609152158,1.084728678173683,AAAA
LVBI11,111.95999908447266,17000.0,0.6891491065047175,0.084,0.95,107.8035893309959,108.4278878624356,1.0408310713676932,AAAAA
TRXF11,107.9000015258789,14000.0,0.8336840320781507,0.10060000000000001,1.06,112.66755294929214,114.93286851894118,1.0301592013567809,AAAA
VCJR11,89.05999755859375,14000.0,0.9342952572909007,0.125,0.93,87.66417886547212,88.0235133831608,1.0959658785642115,AAAA
RBVA11,108.0,12000.0,0.9173274691358025,0.1094,1.0,106.48317340630058,107.86573099703496,1.026072766109295,AAAA
RBRR11,87.0,14000.0,0.953449808429119,0.1144,0.93,89.18602677805963,90.39226630325057,1.1491470166793167,AAAA
HCTR11,36.060001373291016,25000.0,1.6593870693615822,0.1991,0.32,21.033435821533075,35.632671356201044,3.241670665938162,AAAAA
PVBI11,100.59778594970703,13000.0,0.6560780575528383,0.0762,1.0,99.9879560184779,100.75576575204516,1.0206503266478764,AAAA
HSLG11,88.81147003173828,13000.0,0.8251829888585832,0.0973,0.86,79.49117533365848,81.34641265869212,1.0909595992190253,AAAA
URPR11,82.12367248535156,12000.0,1.4890434217676571,0.17809999999999998,0.82,82.2618975093542,84.55062453782328,1.3114551538126795,AAAA
KNSC11,8.800000190734863,12000.0,9.26136343562899,0.1188,0.1,9.804763687935424,10.386210621563292,12.153046415025859,AAAA
RBRF11,74.95999908447266,12000.0,0.8137673525216951,0.0977,0.87,70.46481887791838,71.56134099569816,1.1241125940713765,AAAA
MALL11,115.4000015258789,11000.0,0.6939630179759948,0.0834,0.97,112.17695396206295,114.73455177919764,1.046353924807329,AAAA
